"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","in-stock","stock-qty","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","list-attribute 5","rrp","has-savings-price","price","has-vat-price","label 2","buttons"
"https://www.officemonster.co.uk/chair-mats/q-connect-chair-mat-pvc-914x1219mm-clear--4","https://cdn3.evostore.io/productimages/vow_premium/l/kf02255.jpg","Q-Connect","https://www.officemonster.co.uk/searchbrand?querybrand=2272&name=Q-Connect","Q-Connect Chair Mat Studded Underside for Secure Grip 1219x920x2mm PVC Clear KF02255","In Stock","186","Any special delivery instructions or site restrictions must be advised on your order prior to despatch; delivery failures due to missing instructions will incur a fee based on the order size","Colour: Clear","Dimensions: 914x1219mm","Durable PVC construction","Easier chair movement on thick carpet","RRP
                                    £76.96","46","£41.43","£49.72","Product Code: KF02255","$t_item = {};
                                $t_item.item_id = 1011024;
                                $t_item.item_sku = ""KF02255"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Q-Connect Chair Mat Studded Underside for Secure Grip 1219x920x2mm PVC Clear KF02255"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'kf02255.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1100630 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/q-connect-chair-mat-pvc-1143x1346mm-clear--4","https://cdn3.evostore.io/productimages/vow_premium/l/kf02256.jpg","Q-Connect","https://www.officemonster.co.uk/searchbrand?querybrand=2272&name=Q-Connect","Q-Connect Clear Chair Mat Studded Underside for Secure Grip 1346x1143x2mm PVC KF02256","In Stock","19","Colour: Clear","Dimensions: 1143x1346mm","Durable PVC construction","Easier chair movement on thick carpet","Mat Thickness - 2mm","RRP
                                    £101.84","46","£55.10","£66.12","Product Code: KF02256","$t_item = {};
                                $t_item.item_id = 1011025;
                                $t_item.item_sku = ""KF02256"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Q-Connect Clear Chair Mat Studded Underside for Secure Grip 1346x1143x2mm PVC KF02256"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'kf02256.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

