"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","in-stock","stock-qty","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","list-attribute 5","rrp","has-savings-price","price","has-vat-price","label 2","buttons"
"https://www.officemonster.co.uk/clocks/acctim-aylesbury-wall-clock-white-92-301--5","https://cdn3.evostore.io/productimages/vow_premium/l/ang92301.jpg","Acctim","https://www.officemonster.co.uk/searchbrand?querybrand=1018&name=Acctim","Acctim Aylesbury Wall Clock White 92/301","In Stock","118","Bold white case with numbered white dial","Colour: White","Depth: 34mm","Diameter: 245mm","Flat profile edge","RRP
                                    £24.75","41","£14.51","£17.41","Product Code: ANG92301","$t_item = {};
                                $t_item.item_id = 1001086;
                                $t_item.item_sku = ""ANG92301"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Acctim Aylesbury Wall Clock White 92301"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'ang92301.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1091026 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/clocks/acctim-white-metro-24-hour-plastic-wall-clock-355mm-21202--4","https://cdn3.evostore.io/productimages/vow_premium/l/ang21202.jpg","Acctim","https://www.officemonster.co.uk/searchbrand?querybrand=1018&name=Acctim","Acctim Metro 24 Hour Plastic Wall Clock 355mm White 21202","In Stock","39","Colour: White","Face diameter: 355mm","Glass lens protects clock face","Requires 1x AA battery (included)","Wall clock with red inner 24 hour display","RRP
