"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","in-stock","stock-qty","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","list-attribute 5","rrp","has-savings-price","price","has-vat-price","label 2","buttons","checkstock-btn","out-stock-chat-checkstock"
"https://www.officemonster.co.uk/desk-lamps/alba-60w-black-architect-desk-lamp--4","https://cdn3.evostore.io/productimages/vow_premium/l/alb00861.jpg","Alba","https://www.officemonster.co.uk/searchbrand?querybrand=1048&name=Alba","Alba Black Architect Desk Lamp ARCHI N","In Stock","27","Arm length: 810mm","Base diameter: 200mm","Black architect desk lamp","Clip and base included","Compatible with E27 bulbs/FLUO or LED bulbs available separately","RRP
                                    £86.98","53","£40.52","£48.62","Product Code: ALB00861","$t_item = {};
                                $t_item.item_id = 1001016;
                                $t_item.item_sku = ""ALB00861"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Alba Black Architect Desk Lamp ARCHI N"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'alb00861.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1090958 = JSON.parse(JSON.stringify($t_item));","",""
"https://www.officemonster.co.uk/desk-lamps/alba-60w-white-architect-desk-lamp--4","https://cdn3.evostore.io/productimages/vow_premium/l/alb00879.jpg","Alba","https://www.officemonster.co.uk/searchbrand?querybrand=1048&name=Alba","Alba White Architect Desk Lamp ARCHI BC","","","Arm length: 810mm","Base diameter: 200mm","Clip and base included","Compatible with E27 bulbs/FLUO or LED bulbs available separately","Double arm","RRP
                                    £87.00","56","£38.59","£46.31","Product Code: ALB00879","$t_item = {};
                                $t_item.item_id = 1001021;
                                $t_item.item_sku = ""ALB00879"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Alba White Architect Desk Lamp ARCHI BC"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'alb00879.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1090963 = JSON.parse(JSON.stringify($t_item));","Check Stock – Click Here","Out of Stock - Click For Assistance"
"https://www.officemonster.co.uk/desk-lamps/alba-halox-halogen-desk-lamp-35-50w-black-halox-n--4","https://cdn3.evostore.io/productimages/vow_premium/l/alb00687.jpg","Alba","https://www.officemonster.co.uk/searchbrand?querybrand=1048&name=Alba","Alba Halox LED Desk Lamp 3/5.5W with UK Plug Black/Grey LEDX N UK","In Stock","19","Adjustable base and head","Arm: 480mm","Base: 110mm","Bulb included","Finished in black","RRP
                                    £134.86","47","£70.88","£85.06","Product Code: ALB00687","$t_item = {};
                                $t_item.item_id = 1001008;
                                $t_item.item_sku = ""ALB00687"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Alba Halox LED Desk Lamp 35.5W with UK Plug BlackGrey LEDX N UK"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'alb00687.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1090950 = JSON.parse(JSON.stringify($t_item));","",""
"https://www.officemonster.co.uk/desk-lamps/alba-touch-led-desk-lamp-ledtouch--4","https://cdn3.evostore.io/productimages/vow_premium/l/alb01252.jpg","Alba","https://www.officemonster.co.uk/searchbrand?querybrand=1048&name=Alba","Alba Touch LED Desk Lamp LEDTOUCH","In Stock","1","Adjustable arm and head","Arm: 580mm (total height 560mm)","Average lifetime: 25,000 hours","Base: 20 x 90mm","Connectivity USB 3.0","RRP
                                    £269.06","37","£169.74","£203.69","Product Code: ALB01252","$t_item = {};
                                $t_item.item_id = 1001030;
                                $t_item.item_sku = ""ALB01252"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Alba Touch LED Desk Lamp LEDTOUCH"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
