"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","in-stock","stock-qty","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","list-attribute 5","price","has-vat-price","label 2","list-attribute 6","list-attribute 7","list-attribute 8","list-attribute 9","list-attribute 10","buttons","delivery-detailstwo","rrp","has-savings-price"
"https://www.officemonster.co.uk/floor-mats/vfm-900mmx1m-electrical-safety-mat--9","https://cdn3.evostore.io/productimages/vow_premium/l/sby16618.jpg","VFM","https://www.officemonster.co.uk/searchbrand?querybrand=2670&name=VFM","VFM 900mmx1M Electrical Safety Mat (6mm Thickness) 357750","In Stock","19","6mm thickness, tested to 11000 volts for 450 volt rated working","Designed for use next to and near to high voltage equipment","Dimensions: 900mmx1000mm (WxL)","Fine fluted surface gives slip resistance","Ideal for use in front of open switchboards","£65.42","£78.50","Product Code: SBY16618","1","Pack size","Category","Floor Mats","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1018144;
                                $t_item.item_sku = ""SBY16618"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""VFM 900mmx1M Electrical Safety Mat 6mm Thickness 357750"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'sby16618.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1107448 = JSON.parse(JSON.stringify($t_item));","Order before 4.30pm for delivery next working day","",""
"https://www.officemonster.co.uk/floor-mats/doortex-grey-ultimat-900x1500mm-doormat-fc490150ultgr--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74790.jpg","Doortex","https://www.officemonster.co.uk/searchbrand?querybrand=1419&name=Doortex","Doortex Ultimat Doormat 900x1500mm Grey FC490150ULTGR","In Stock","9","100% virgin cotton pile for increased moisture absorption","Colour: Grey","Dimensions: 900x1500mm","Flexible, anti-slip vinyl backing","Reinforced scraper fibres allow for increased capture of dust and dirt","£59.89","£71.87","Product Code: FL74790","1","Pack size","Category","Floor Mats","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1006642;
                                $t_item.item_sku = ""FL74790"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Doortex Ultimat Doormat 900x1500mm Grey FC490150ULTGR"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74790.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1096351 = JSON.parse(JSON.stringify($t_item));","Order before 4.30pm for delivery next working day","RRP
                                    £143.62","58"
"https://www.officemonster.co.uk/floor-mats/everyday-sit-stand-mat--1","https://cdn3.evostore.io/productimages/fellowes/l/87070_everyday_sitstand_mat_hero.jpg","Fellowes","https://www.officemonster.co.uk/searchbrand?querybrand=1538&name=Fellowes","Everyday Sit-Stand Mat","","","Bevelled edges help avoid trip hazards","Encourages subtle movement to help prevent fatigue throughout the day","Use with any Sit-Stand Workstation or Work Platform for extra support while standing","1","Pack size","£67.39","£80.87","Product Code: 8707001","Category","Floor Mats","Other selling quantities available","","","$t_item = {};
                                $t_item.item_id = 1242798;
                                $t_item.item_sku = ""8707001"";
                                $t_item.item_catalog_id = 1699;
                                $t_item.item_supplier_id = 1014;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Everyday Sit-Stand Mat"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/fellowes/m/';
                                $t_item.item_image_thumbnail = '87070_everyday_sitstand_mat_hero.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""87070_everyday_sitstand_mat_comfort.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/"",""image"":""87070_everyday_sitstand_mat_comfort.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87070_everyday_sitstand_mat_comfort.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/87070_everyday_sitstand_mat_comfort.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87070_everyday_sitstand_mat_comfort.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87070_everyday_sitstand_mat_comfort.jpg""},{""title_image"":null,""image_thumbnail"":""87070_everyday_sitstand_mat_dims.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/"",""image"":""87070_everyday_sitstand_mat_dims.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87070_everyday_sitstand_mat_dims.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/87070_everyday_sitstand_mat_dims.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87070_everyday_sitstand_mat_dims.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87070_everyday_sitstand_mat_dims.jpg""},{""title_image"":null,""image_thumbnail"":""87070_everyday_sitstand_mat_edges.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/"",""image"":""87070_everyday_sitstand_mat_edges.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87070_everyday_sitstand_mat_edges.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/87070_everyday_sitstand_mat_edges.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87070_everyday_sitstand_mat_edges.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87070_everyday_sitstand_mat_edges.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_19867590 = JSON.parse(JSON.stringify($t_item));","Order before 2pm for delivery within 5 working days","RRP
                                    £87.13","23"
"https://www.officemonster.co.uk/floor-mats/activefusion-sit-stand-mat--1","https://cdn3.evostore.io/productimages/fellowes/l/87071_activefusion_sitstand_mat_hero.jpg","Fellowes","https://www.officemonster.co.uk/searchbrand?querybrand=1538&name=Fellowes","ActiveFusion™  Sit-Stand Mat","","","Bevelled edges help avoid trip hazards","Prevents fatigue by encouraging subtle movement and the shifting of body weight","Step design promotes stretching and movement throughout the day","Use with any Sit-Stand Workstation or Work Platform for extra support while standing","1","£101.96","£122.35","Product Code: 8707101","Pack size","Category","Floor Mats","Other selling quantities available","","$t_item = {};
                                $t_item.item_id = 1242799;
                                $t_item.item_sku = ""8707101"";
                                $t_item.item_catalog_id = 1699;
                                $t_item.item_supplier_id = 1014;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""ActiveFusion  Sit-Stand Mat"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/fellowes/m/';
                                $t_item.item_image_thumbnail = '87071_activefusion_sitstand_mat_hero.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""87071_activefusion_sitstand_mat_comfort.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/"",""image"":""87071_activefusion_sitstand_mat_comfort.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_comfort.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/87071_activefusion_sitstand_mat_comfort.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_comfort.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_comfort.jpg""},{""title_image"":null,""image_thumbnail"":""87071_activefusion_sitstand_mat_comfort_2.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/"",""image"":""87071_activefusion_sitstand_mat_comfort_2.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_comfort_2.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/87071_activefusion_sitstand_mat_comfort_2.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_comfort_2.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_comfort_2.jpg""},{""title_image"":null,""image_thumbnail"":""87071_activefusion_sitstand_mat_dims.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/"",""image"":""87071_activefusion_sitstand_mat_dims.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_dims.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/87071_activefusion_sitstand_mat_dims.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_dims.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_dims.jpg""},{""title_image"":null,""image_thumbnail"":""87071_activefusion_sitstand_mat_edges.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/"",""image"":""87071_activefusion_sitstand_mat_edges.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_edges.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/m\/87071_activefusion_sitstand_mat_edges.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_edges.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/fellowes\/l\/87071_activefusion_sitstand_mat_edges.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_19867592 = JSON.parse(JSON.stringify($t_item));","Order before 2pm for delivery within 5 working days","RRP
                                    £138.38","26"
"https://www.officemonster.co.uk/floor-mats/contour-ergonomics-anti-fatigue-floor-mat-60x40cm-curl-proof-black-ce01467--3","https://cdn3.evostore.io/productimages/vow_premium/l/ce01467.jpg","Contour","https://www.officemonster.co.uk/searchbrand?querybrand=1338&name=Contour","Contour Ergonomics Comfort Floor Mat 60x40cm Black CE01467","In Stock","20","Anti-slip base for stability and safety","Bevelled edge reducing any trip hazard","Complements the Contour Ergonomics sit stand workstation","Curl proof edging so the mat remains flat","Designed to help reduce the pressures and strains on spine and back muscles","£48.71","£58.45","Product Code: CE01467","1","Pack size","Category","Floor Mats","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1214249;
                                $t_item.item_sku = ""CE01467"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Contour Ergonomics Comfort Floor Mat 60x40cm Black CE01467"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'ce01467.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_3200031 = JSON.parse(JSON.stringify($t_item));","Order before 4.30pm for delivery next working day","RRP
                                    £79.18","38"
"https://www.officemonster.co.uk/floor-mats/contour-ergonomics-anti-fatigue-floor-mat-920-x-620-x-20mm-black-ce77694--4","https://cdn3.evostore.io/productimages/vow_premium/l/ce77694.jpg","Contour","https://www.officemonster.co.uk/searchbrand?querybrand=1338&name=Contour","Contour Ergonomics Anti-Fatigue Floor Mat 920 x 620 x 20mm Black CE77694","In Stock","37","Advanced bevelled edge to help prevent tripping","Colour: Black","Complements the Contour Ergonomics sit-stand workstation","Dimensions: W920xD620xH20mm","Effectively reduces pain and discomfort from prolonged standing","£102.82","£123.38","Product Code: CE77694","1","Pack size","Category","Floor Mats","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1003393;
                                $t_item.item_sku = ""CE77694"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Contour Ergonomics Anti-Fatigue Floor Mat 920 x 620 x 20mm Black CE77694"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'ce77694.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1093256 = JSON.parse(JSON.stringify($t_item));","Order before 4.30pm for delivery next working day","RRP
                                    £234.58","56"
"https://www.officemonster.co.uk/floor-mats/doortex-ultimat-indoor-doormat-600x900mm-grey-fc46090ultgr--2","https://cdn3.evostore.io/productimages/vow_premium/l/fl74361.jpg","Doortex","https://www.officemonster.co.uk/searchbrand?querybrand=1419&name=Doortex","Doortex Ultimat Indoor Doormat 600x900mm Grey FC46090ULTGR","","","Colour: Grey","Dimensions: 600x900mm","For indoor use","Highly absorbent","Scraper and soaker function","£31.77","£38.12","Product Code: FL74361","1","Pack size","Category","Floor Mats","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 4803141;
                                $t_item.item_sku = ""FL74361"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Doortex Ultimat Indoor Doormat 600x900mm Grey FC46090ULTGR"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74361.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_17091279 = JSON.parse(JSON.stringify($t_item));","Order before 4.30pm for delivery next working day","RRP
                                    £63.61","50"
"https://www.officemonster.co.uk/floor-mats/doortex-blue-doortex-dust-control-door-mat-1200x1800mm-49180dcblv--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74405.jpg","Doortex","https://www.officemonster.co.uk/searchbrand?querybrand=1419&name=Doortex","Doortex Dust Control Door Mat 1200x1800mm Blue 49180DCBLV","","","A smart, functional blue door mat","Anti-slip, UV resistant vinyl backing","Colour: Blue","Designed to absorb moisture and dust quickly and efficiently","Dimensions: 1200x1800mm","£75.11","£90.13","Product Code: FL74405","1","Pack size","Category","Floor Mats","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1006630;
                                $t_item.item_sku = ""FL74405"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Doortex Dust Control Door Mat 1200x1800mm Blue 49180DCBLV"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74405.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1096339 = JSON.parse(JSON.stringify($t_item));","Order before 4.30pm for delivery next working day","RRP
                                    £144.28","48"
"https://www.officemonster.co.uk/floor-mats/floortex-black-and-white-doortex-dust-control-door-mat-600x900mm-46090dcbwv--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74441.jpg","Doortex","https://www.officemonster.co.uk/searchbrand?querybrand=1419&name=Doortex","Doortex Dust Control Door Mat 600x900mm Black/White 46090DCBWV","In Stock","28","A smart, functional black and white door mat","Anti-slip, UV resistant vinyl backing","Colour: Black and White","Designed to absorb moisture and dust quickly and efficiently","Dimensions: 600x900mm","£23.25","£27.90","Product Code: FL74441","1","Pack size","Category","Floor Mats","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1006632;
                                $t_item.item_sku = ""FL74441"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Doortex Dust Control Door Mat 600x900mm BlackWhite 46090DCBWV"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74441.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1096341 = JSON.parse(JSON.stringify($t_item));","Order before 4.30pm for delivery next working day","RRP
                                    £49.97","53"
"https://www.officemonster.co.uk/floor-mats/doortex-blue-dust-control-door-mat-900x1200mm-49120dcblv--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74446.jpg","Doortex","https://www.officemonster.co.uk/searchbrand?querybrand=1419&name=Doortex","Doortex Dust Control Door Mat 900x1200mm Blue 49120DCBLV","In Stock","14","A smart, functional blue door mat","Anti-slip, UV resistant vinyl backing","Colour: Blue","Designed to absorb moisture and dust quickly and efficiently","Dimensions: 900x1200mm","£44.43","£53.32","Product Code: FL74446","1","Pack size","Category","Floor Mats","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1006635;
                                $t_item.item_sku = ""FL74446"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Doortex Dust Control Door Mat 900x1200mm Blue 49120DCBLV"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74446.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1096344 = JSON.parse(JSON.stringify($t_item));","Order before 4.30pm for delivery next working day","RRP
                                    £87.15","49"
