"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","stock-qty","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","rrp","has-savings-price","price","has-vat-price","label 2","list-attribute 5","list-attribute 6","list-attribute 7","list-attribute 8","list-attribute 9","buttons","list-attribute 10"
"https://www.officemonster.co.uk/pedestals/maestro-25-2-drawer-fixed-pedestal-beech","https://cdn3.evostore.io/productimages/dams/l/r2fb.jpg","Maestro 25","https://www.officemonster.co.uk/searchbrand?querybrand=1942&name=Maestro%2025","Maestro 25 2 drawer fixed pedestal - beech","433","Available in beech, oak, grey oak, white and walnut","Lockable drawers with silver handles","One shallow drawer and one filing drawer which accepts both A4 and foolscap files","Two drawer fixed pedestal for use with Maestro 25 800mm deep desk ranges","RRP
                                    £182.00","35","£119.00","£142.80","Product Code: R2FB","1","Pack size","Category","Pedestals","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1140898;
                                $t_item.item_sku = ""R2FB"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Maestro 25 2 drawer fixed pedestal - beech"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'r2fb.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""maestro-25-wl-white-background.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""maestro-25-wl-white-background.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/maestro-25-wl-white-background.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/maestro-25-wl-white-background.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/maestro-25-wl-white-background.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/maestro-25-wl-white-background.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1356934 = JSON.parse(JSON.stringify($t_item));",""
"https://www.officemonster.co.uk/pedestals/maestro-25-2-drawer-fixed-pedestal-oak","https://cdn3.evostore.io/productimages/dams/l/r2fo.jpg","Maestro 25","https://www.officemonster.co.uk/searchbrand?querybrand=1942&name=Maestro%2025","Maestro 25 2 drawer fixed pedestal - oak","171","Available in beech, oak, grey oak, white and walnut","Lockable drawers with silver handles","One shallow drawer and one filing drawer which accepts both A4 and foolscap files","Two drawer fixed pedestal for use with Maestro 25 800mm deep desk ranges","RRP
                                    £182.00","35","£119.00","£142.80","Product Code: R2FO","1","Pack size","Category","Pedestals","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1140900;
                                $t_item.item_sku = ""R2FO"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Maestro 25 2 drawer fixed pedestal - oak"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'r2fo.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""maestro-25-wl-white-background.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""maestro-25-wl-white-background.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/maestro-25-wl-white-background.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/maestro-25-wl-white-background.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/maestro-25-wl-white-background.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/maestro-25-wl-white-background.jpg""}];
                                $t_item.item_price_type = 0;
