"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","stock-due","stock-due 2","stock-due-details","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","list-attribute 5","rrp","has-savings-price","price","has-vat-price","label 2","list-attribute 6","list-attribute 7","list-attribute 8","list-attribute 9","list-attribute 10","buttons","delivery-detailstwo","delivery-detailstwo 2","in-stock","stock-qty","normal","dams","outofstockchat"
"https://www.officemonster.co.uk/desk-extension/elev8-touch-sit-stand-return-desk-600mm-x-800mm-black-frame-beech-top","https://cdn3.evostore.io/productimages/dams/l/evt-ret-k-b.jpg","Elev8","https://www.officemonster.co.uk/searchbrand?querybrand=1476&name=Elev8","Elev8 Touch sit-stand return desk 600mm x 800mm - black frame, beech top","Check Stock – Click Here","(Stock Due: 02/01/2024)","Stock Due: 02/01/2024","25mm desktops available in beech, oak, white, walnut and white with oak edging","For use with Elev8 Touch single desks","Height adjustable return desk 800mm deep","Sits on either side of the sit-stand straight desks to increase the working area","The three tiered leg column offers adjustability from 650mm to 1250mm","RRP
                                    £934.00","42","£543.00","£651.60","Product Code: EVT-RET-K-B","1","Pack size","Category","Desk Extensions","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1139541;
                                $t_item.item_sku = ""EVT-RET-K-B"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Elev8 Touch sit-stand return desk 600mm x 800mm - black frame beech top"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'evt-ret-k-b.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""elev8-touch-location-3.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""elev8-touch-location-3.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/elev8-touch-location-3.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1355577 = JSON.parse(JSON.stringify($t_item));","For delivery timelines, please confirm stock availability","For delivery timelines, please confirm stock availability","","","","",""
"https://www.officemonster.co.uk/desk-extension/elev8-touch-sit-stand-return-desk-600mm-x-800mm-black-frame-and-grey-oak-top--1","https://cdn3.evostore.io/productimages/dams/l/evt-ret-k-go.jpg","Elev8","https://www.officemonster.co.uk/searchbrand?querybrand=1476&name=Elev8","Elev8 Touch sit-stand return desk 600mm x 800mm - black frame, grey oak top","Check Stock – Click Here","(Stock Due: 02/01/2024)","Stock Due: 02/01/2024","25mm desktops available in beech, oak, white, walnut and white with oak edging","For use with Elev8 Touch single desks","Height adjustable return desk 800mm deep","Sits on either side of the sit-stand straight desks to increase the working area","The three tiered leg column offers adjustability from 650mm to 1250mm","RRP
                                    £934.00","42","£543.00","£651.60","Product Code: EVT-RET-K-GO","1","Pack size","Category","Desk Extensions","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 15479308;
                                $t_item.item_sku = ""EVT-RET-K-GO"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Elev8 Touch sit-stand return desk 600mm x 800mm - black frame grey oak top"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'evt-ret-k-go.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""elev8-touch-location-3.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""elev8-touch-location-3.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/elev8-touch-location-3.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_30064696 = JSON.parse(JSON.stringify($t_item));","For delivery timelines, please confirm stock availability","For delivery timelines, please confirm stock availability","","","","",""
"https://www.officemonster.co.uk/desk-extension/elev8-touch-sit-stand-return-desk-600mm-x-800mm-black-frame-and-oak-top--1","https://cdn3.evostore.io/productimages/dams/l/evt-ret-k-o.jpg","Elev8","https://www.officemonster.co.uk/searchbrand?querybrand=1476&name=Elev8","Elev8 Touch sit-stand return desk 600mm x 800mm - black frame, oak top","Check Stock – Click Here","(Stock Due: 02/01/2024)","Stock Due: 02/01/2024","25mm desktops available in beech, oak, white, walnut and white with oak edging","For use with Elev8 Touch single desks","Height adjustable return desk 800mm deep","Sits on either side of the sit-stand straight desks to increase the working area","The three tiered leg column offers adjustability from 650mm to 1250mm","RRP
                                    £934.00","42","£543.00","£651.60","Product Code: EVT-RET-K-O","1","Pack size","Category","Desk Extensions","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 9208000;
                                $t_item.item_sku = ""EVT-RET-K-O"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Elev8 Touch sit-stand return desk 600mm x 800mm - black frame oak top"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'evt-ret-k-o.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""elev8-touch-location-3.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""elev8-touch-location-3.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/elev8-touch-location-3.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_24046332 = JSON.parse(JSON.stringify($t_item));","For delivery timelines, please confirm stock availability","For delivery timelines, please confirm stock availability","","","","",""
"https://www.officemonster.co.uk/desk-extension/elev8-touch-sit-stand-return-desk-600mm-x-800mm-black-frame-walnut-top","https://cdn3.evostore.io/productimages/dams/l/evt-ret-k-w.jpg","Elev8","https://www.officemonster.co.uk/searchbrand?querybrand=1476&name=Elev8","Elev8 Touch sit-stand return desk 600mm x 800mm - black frame, walnut top","Check Stock – Click Here","(Stock Due: 02/01/2024)","Stock Due: 02/01/2024","25mm desktops available in beech, oak, white, walnut and white with oak edging","For use with Elev8 Touch single desks","Height adjustable return desk 800mm deep","Sits on either side of the sit-stand straight desks to increase the working area","The three tiered leg column offers adjustability from 650mm to 1250mm","RRP
                                    £934.00","42","£543.00","£651.60","Product Code: EVT-RET-K-W","1","Pack size","Category","Desk Extensions","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1139542;
                                $t_item.item_sku = ""EVT-RET-K-W"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Elev8 Touch sit-stand return desk 600mm x 800mm - black frame walnut top"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'evt-ret-k-w.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""elev8-touch-location-3.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""elev8-touch-location-3.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/elev8-touch-location-3.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1355578 = JSON.parse(JSON.stringify($t_item));","For delivery timelines, please confirm stock availability","For delivery timelines, please confirm stock availability","","","","",""
"https://www.officemonster.co.uk/desk-extension/elev8-touch-sit-stand-return-desk-600mm-x-800mm-black-frame-white-top","https://cdn3.evostore.io/productimages/dams/l/evt-ret-k-wh.jpg","Elev8","https://www.officemonster.co.uk/searchbrand?querybrand=1476&name=Elev8","Elev8 Touch sit-stand return desk 600mm x 800mm - black frame, white top","Check Stock – Click Here","(Stock Due: 02/01/2024)","Stock Due: 02/01/2024","25mm desktops available in beech, oak, white, walnut and white with oak edging","For use with Elev8 Touch single desks","Height adjustable return desk 800mm deep","Sits on either side of the sit-stand straight desks to increase the working area","The three tiered leg column offers adjustability from 650mm to 1250mm","RRP
                                    £934.00","42","£543.00","£651.60","Product Code: EVT-RET-K-WH","1","Pack size","Category","Desk Extensions","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1139543;
                                $t_item.item_sku = ""EVT-RET-K-WH"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Elev8 Touch sit-stand return desk 600mm x 800mm - black frame white top"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'evt-ret-k-wh.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""elev8-touch-location-3.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""elev8-touch-location-3.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/elev8-touch-location-3.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1355579 = JSON.parse(JSON.stringify($t_item));","For delivery timelines, please confirm stock availability","For delivery timelines, please confirm stock availability","","","","",""
"https://www.officemonster.co.uk/desk-extension/elev8-touch-sit-stand-return-desk-600mm-x-800mm-black-frame-white-top-with-oak-edge","https://cdn3.evostore.io/productimages/dams/l/evt-ret-k-wo.jpg","Elev8","https://www.officemonster.co.uk/searchbrand?querybrand=1476&name=Elev8","Elev8 Touch sit-stand return desk 600mm x 800mm - black frame, white top with oak edge","Check Stock – Click Here","(Stock Due: 02/01/2024)","Stock Due: 02/01/2024","25mm desktops available in beech, oak, white, walnut and white with oak edging","For use with Elev8 Touch single desks","Height adjustable return desk 800mm deep","Sits on either side of the sit-stand straight desks to increase the working area","The three tiered leg column offers adjustability from 650mm to 1250mm","RRP
                                    £934.00","42","£543.00","£651.60","Product Code: EVT-RET-K-WO","1","Pack size","Category","Desk Extensions","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1139544;
                                $t_item.item_sku = ""EVT-RET-K-WO"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Elev8 Touch sit-stand return desk 600mm x 800mm - black frame white top with oak edge"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'evt-ret-k-wo.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""elev8-touch-location-3.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""elev8-touch-location-3.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/elev8-touch-location-3.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1355580 = JSON.parse(JSON.stringify($t_item));","For delivery timelines, please confirm stock availability","For delivery timelines, please confirm stock availability","","","","",""
"https://www.officemonster.co.uk/desk-extension/elev8-touch-sit-stand-return-desk-600mm-x-800mm-silver-frame-beech-top","https://cdn3.evostore.io/productimages/dams/l/evt-ret-s-b.jpg","Elev8","https://www.officemonster.co.uk/searchbrand?querybrand=1476&name=Elev8","Elev8 Touch sit-stand return desk 600mm x 800mm - silver frame, beech top","Check Stock – Click Here","(Stock Due: 02/01/2024)","Stock Due: 02/01/2024","25mm desktops available in beech, oak, white, walnut and white with oak edging","For use with Elev8 Touch single desks","Height adjustable return desk 800mm deep","Sits on either side of the sit-stand straight desks to increase the working area","The three tiered leg column offers adjustability from 650mm to 1250mm","RRP
                                    £934.00","42","£543.00","£651.60","Product Code: EVT-RET-S-B","1","Pack size","Category","Desk Extensions","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1139545;
                                $t_item.item_sku = ""EVT-RET-S-B"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Elev8 Touch sit-stand return desk 600mm x 800mm - silver frame beech top"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'evt-ret-s-b.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""elev8-touch-location-3.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""elev8-touch-location-3.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/elev8-touch-location-3.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1355581 = JSON.parse(JSON.stringify($t_item));","For delivery timelines, please confirm stock availability","For delivery timelines, please confirm stock availability","","","","",""
"https://www.officemonster.co.uk/desk-extension/elev8-touch-sit-stand-return-desk-600mm-x-800mm-silver-frame-and-grey-oak-top--1","https://cdn3.evostore.io/productimages/dams/l/evt-ret-s-go.jpg","Elev8","https://www.officemonster.co.uk/searchbrand?querybrand=1476&name=Elev8","Elev8 Touch sit-stand return desk 600mm x 800mm - silver frame, grey oak top","Check Stock – Click Here","(Stock Due: 02/01/2024)","Stock Due: 02/01/2024","25mm desktops available in beech, oak, white, walnut and white with oak edging","For use with Elev8 Touch single desks","Height adjustable return desk 800mm deep","Sits on either side of the sit-stand straight desks to increase the working area","The three tiered leg column offers adjustability from 650mm to 1250mm","RRP
                                    £934.00","42","£543.00","£651.60","Product Code: EVT-RET-S-GO","1","Pack size","Category","Desk Extensions","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 15479309;
                                $t_item.item_sku = ""EVT-RET-S-GO"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Elev8 Touch sit-stand return desk 600mm x 800mm - silver frame grey oak top"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'evt-ret-s-go.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""elev8-touch-location-3.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""elev8-touch-location-3.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/elev8-touch-location-3.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_30064697 = JSON.parse(JSON.stringify($t_item));","For delivery timelines, please confirm stock availability","For delivery timelines, please confirm stock availability","","","","",""
"https://www.officemonster.co.uk/desk-extension/elev8-touch-sit-stand-return-desk-600mm-x-800mm-silver-frame-and-oak-top--1","https://cdn3.evostore.io/productimages/dams/l/evt-ret-s-o.jpg","Elev8","https://www.officemonster.co.uk/searchbrand?querybrand=1476&name=Elev8","Elev8 Touch sit-stand return desk 600mm x 800mm - silver frame, oak top","Check Stock – Click Here","(Stock Due: 02/01/2024)","Stock Due: 02/01/2024","25mm desktops available in beech, oak, white, walnut and white with oak edging","For use with Elev8 Touch single desks","Height adjustable return desk 800mm deep","Sits on either side of the sit-stand straight desks to increase the working area","The three tiered leg column offers adjustability from 650mm to 1250mm","RRP
                                    £934.00","42","£543.00","£651.60","Product Code: EVT-RET-S-O","1","Pack size","Category","Desk Extensions","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 9208001;
                                $t_item.item_sku = ""EVT-RET-S-O"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Elev8 Touch sit-stand return desk 600mm x 800mm - silver frame oak top"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'evt-ret-s-o.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""elev8-touch-location-3.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""elev8-touch-location-3.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/elev8-touch-location-3.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_24046333 = JSON.parse(JSON.stringify($t_item));","For delivery timelines, please confirm stock availability","For delivery timelines, please confirm stock availability","","","","",""
"https://www.officemonster.co.uk/desk-extension/elev8-touch-sit-stand-return-desk-600mm-x-800mm-silver-frame-walnut-top","https://cdn3.evostore.io/productimages/dams/l/evt-ret-s-w.jpg","Elev8","https://www.officemonster.co.uk/searchbrand?querybrand=1476&name=Elev8","Elev8 Touch sit-stand return desk 600mm x 800mm - silver frame, walnut top","Check Stock – Click Here","(Stock Due: 02/01/2024)","Stock Due: 02/01/2024","25mm desktops available in beech, oak, white, walnut and white with oak edging","For use with Elev8 Touch single desks","Height adjustable return desk 800mm deep","Sits on either side of the sit-stand straight desks to increase the working area","The three tiered leg column offers adjustability from 650mm to 1250mm","RRP
                                    £934.00","42","£543.00","£651.60","Product Code: EVT-RET-S-W","1","Pack size","Category","Desk Extensions","Other selling quantities available","$t_item = {};
                                $t_item.item_id = 1139546;
                                $t_item.item_sku = ""EVT-RET-S-W"";
                                $t_item.item_catalog_id = 1036;
                                $t_item.item_supplier_id = 1010;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Elev8 Touch sit-stand return desk 600mm x 800mm - silver frame walnut top"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/dams/m/';
                                $t_item.item_image_thumbnail = 'evt-ret-s-w.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [{""title_image"":null,""image_thumbnail"":""elev8-touch-location-3.jpg"",""image_thumbnail_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/"",""image"":""elev8-touch-location-3.jpg"",""image_path"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/"",""image_large"":null,""image_large_path"":null,""image_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""thumbnail_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/m\/elev8-touch-location-3.jpg"",""image_large_link"":"""",""image_zoom_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg"",""image_view_link"":""https:\/\/cdn3.evostore.io\/productimages\/dams\/l\/elev8-touch-location-3.jpg""}];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1355582 = JSON.parse(JSON.stringify($t_item));","For delivery timelines, please confirm stock availability","For delivery timelines, please confirm stock availability","","","","",""
