"imgthumbnail href","imgthumbnail src","product-name","in-stock","stock-qty","list-attribute","list-attribute 2","rrp","price","has-vat-price","label 2","buttons"
"https://www.officemonster.co.uk/classroom-seats/jemini-flexi-skid-chair-blue-kf80395--5","https://cdn3.evostore.io/productimages/vow_premium/l/kf80395.jpg","Jemini Flexi Skid Chair Blue KF80395","In Stock","12,000","Chair Colour: Blue","Dimensions (WxDxH): 530x530x860mm","RRP
                                    £148.72","£128.29","£153.95","Product Code: KF80395","$t_item = {};
                                $t_item.item_id = 44026496;
                                $t_item.item_sku = ""KF80395"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Jemini Flexi Skid Chair Blue KF80395"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'kf80395.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_58609030 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/classroom-seats/jemini-flexi-skid-chair-green-kf80396--5","https://cdn3.evostore.io/productimages/vow_premium/l/kf80396.jpg","Jemini Flexi Skid Chair Green KF80396","In Stock","12,030","Chair Colour: Green","Dimensions (WxDxH): 530x530x860mm","RRP
                                    £148.72","£128.29","£153.95","Product Code: KF80396","$t_item = {};
                                $t_item.item_id = 44026497;
                                $t_item.item_sku = ""KF80396"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Jemini Flexi Skid Chair Green KF80396"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'kf80396.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_58609031 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/classroom-seats/jemini-flexi-skid-chair-grey-kf80397--5","https://cdn3.evostore.io/productimages/vow_premium/l/kf80397.jpg","Jemini Flexi Skid Chair Grey KF80397","In Stock","12,040","Chair Colour: Grey","Dimensions (WxDxH): 530x530x860mm","RRP
                                    £148.72","£128.29","£153.95","Product Code: KF80397","$t_item = {};
                                $t_item.item_id = 44026498;
                                $t_item.item_sku = ""KF80397"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Jemini Flexi Skid Chair Grey KF80397"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'kf80397.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_58609032 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/classroom-seats/jemini-flexi-skid-chair-red-kf80398--5","https://cdn3.evostore.io/productimages/vow_premium/l/kf80398.jpg","Jemini Flexi Skid Chair Red KF80398","In Stock","12,000","Chair Colour: Red","Dimensions (WxDxH): 530x530x860mm","RRP
                                    £148.72","£128.29","£153.95","Product Code: KF80398","$t_item = {};
                                $t_item.item_id = 44026499;
                                $t_item.item_sku = ""KF80398"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Jemini Flexi Skid Chair Red KF80398"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'kf80398.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
