URL,Category,Type
bench-desking,Bench Desking,desking
computer-workstation,Computer Workstation,desking
desk-components,Desk Components,desking
desk-extension,Desk Extensions,desking
office-desks,Office Desks,desking
pedestals,Pedestals,desking
reception-desks,Reception Desks,desking
stacking-chairs,Banqueting & Conference Chairs,seating
canteen-chairs,Canteen Chairs,seating
chair-accessories,Chair Accessories,seating
classroom-seats,Classroom Seats,seating
lab-seats,Lab Seats,seating
office-chairs,Office Chairs,seating
outdoor-seating,Outdoor Furniture,seating
reception-chairs,Reception Chairs,seating
visitors-chairs,Visitors Chairs,seating
filing-cabinets,Filing Cabinets,storage
cupboards,Cupboards & Tambour Units,storage
desk-pedestals,Desk Pedestals,storage
bookcases,Bookcases,storage
bookcases-with-storage,Bookcases With Storage,storage
lockers,Lockers,storage
cupboard-accessories,Shelves & Cupboard Accessories,storage
multidrawer-cabinets,Multidrawer Cabinets,storage
plan-file-cabinets,Plan File Cabinets,storage
storage-accessories,Storage Accessories,storage
boardroom-tables,Boardroom Tables,tables
meeting-tables,Meeting Tables,tables
canteen-tables,Canteen Tables,tables
folding-tables,Folding Tables,tables
classroom-tables,Classroom Tables,tables
reception-tables,Reception Tables,tables
table-components,Table Components,tables
certificate-covers,Certificate Covers,room-accessories
certificate-frames,Certificate Frames,room-accessories
chair-mats,Chair Mats,room-accessories
clocks,Clocks,room-accessories
desk-lamps,Desk Lamps,room-accessories
floor-lamps,Floor Lamps,room-accessories
floor-mats,Floor Mats,room-accessories
sign-holders--1,Sign Holders,room-accessories
literature-displays,Literature Displays,room-accessories
picture-frames,Picture Frames,room-accessories
coat-racks-and-umbrella-stands,Coat Racks & Umbrella Stands,room-accessories
post-boxes,Post Boxes,room-accessories
candles,Candles,room-accessories
